Neighborhood,Lat,Lng
Blok 4 (Politehnička akademija),44.826402,20.401387
Bulevar despota Stefana,44.817174,20.477714
Karađorđeva,44.813481,20.452235
Karađorđev park,44.795603,20.466112
Lazarevac (mesto),44.379487,20.263894
Savamala,44.811314,20.45724
Retenzija,44.834879,20.411901
Pregrevica,44.854754,20.391532
Opština,44.823004,20.413435
Palilulska pijaca,44.811926,20.47159
Medaković 1,44.775777,20.505115
Maksima Gorkog,44.796133,20.477428
Mladenovac (mesto),44.436436,20.693852
Farmaceutski fakultet,44.747103,20.49432
Hala Pionir,44.814766,20.485452
Barajevo (mesto),44.603492,20.45241
27. marta,44.81132,20.473858
Dalmatinska,44.81129,20.477898
Rospi ćuprija,44.815322,20.523183
Ruzveltova,44.806891,20.480323
Vranić,44.592632,20.30357
YUBC,44.798753,20.394729
Vitanovačka,44.778845,20.483104
Stara Bežanija,44.807249,20.371885
Slavujev venac,44.806764,20.484859
Rudo,44.79506,20.450595
Sava centar,44.80851,20.431998
Darvinova pošta,44.771663,20.483067
Kej,44.838821,20.41848
Bioskop Voždovac,44.782238,20.471745
Blok 2,44.827899,20.409988
25. maj,44.790889,20.45348
Borča Greda,44.881127,20.454617
Julino brdo,44.767609,20.409627
Kralja Petra,44.820171,20.455486
Francuska,44.817671,20.462575
Resavska,44.804812,20.46222
Obrenovac (mesto),44.662459,20.203134
Plavi horizonti,44.853193,20.336079
Vojislava Ilića,44.786364,20.500327
Zvezdarska padina,44.804685,20.512797
Takovska,44.813286,20.472144
Novi Merkator,44.820833,20.414167
London,44.807982,20.462949
Gradić Pejton,44.796212,20.475304
Brankova,44.815051,20.453911
Ćukovac,44.845697,20.405777
Blok 3,44.825317,20.404785
Blok 43,44.805238,20.421713
Grocka (mesto),44.66763,20.726945
Lešće,44.810274,20.546908
Marija Bursać,44.833772,20.391668
Prokop,44.793605,20.45333
Sunčana padina,44.769439,20.506369
VMA,44.764406,20.467492
Zaplanjska,44.773916,20.492239
Vinča,44.768116,20.604
Topčider,44.78063,20.446751
Repište,44.761535,20.413063
Novo Skojevsko naselje,44.74881,20.432764
Kraljice Natalije,44.8106,20.459729
Andrićev venac,44.809755,20.463919
Baćevac,44.584258,20.37471
Balkanska,44.80993,20.45929
Bački Ilovik,44.847137,20.378504
Boleč,44.731282,20.603947
Ćalije,44.806834,20.516829
Kovilovo,44.91002,20.429577
Kralja Milana,44.80677,20.464342
Dunavski kej,44.829657,20.457816
Gardoš,44.848886,20.40815
Dobanovci,44.827599,20.222852
Novo groblje,44.81018,20.486101
Muhar,44.847243,20.405598
Meljak,44.624405,20.371448
Leštane,44.730684,20.575564
Rvati,44.658338,20.188681
Sajam,44.795902,20.436353
Rušanj,44.677341,20.443985
Sutjeska,44.760276,20.537495
Železnička kolonija,44.897575,20.27579
Vodovodska,44.760944,20.407889
Zemun Bačka,44.848333,20.379669
Zvezdara 2,44.809139,20.50154
Višegradska,44.801118,20.455021
Ugrinovci,44.863766,20.193618
Ušće,44.81769,20.437162
Ustanička,44.786062,20.481162
Siva stena,44.776536,20.488022
Marinkova bara, 44.779641,20.497374
Mašinski fakultet,44.806849,20.47733
Makiš,44.769034,20.362957
Mostarska petlja,44.798613,20.448786
Nenadovac,44.621174,20.447972
Novi Železnik, 44.732139,20.380188
Draževac,44.575291,20.231184
Depo,44.802471,20.481541
Gavrila Principa, 44.811736,20.456167
Guncati,44.609631,20.393568
Hotel Hyatt,44.81306,20.434013
Košutnjak,44.76461,20.436546
Jakovo,44.755775,20.255191
Beli potok,44.710413,20.525257
